id,properties,createdAt,updatedAt,archived
14281282976,"{'hs_createdate': '2024-07-27T18:05:01.161Z', 'hs_lastmodifieddate': '2024-07-27T18:08:52.915Z', 'hs_object_id': '14281282976'}",2024-07-27T18:05:01.161Z,2024-07-27T18:08:52.915Z,False
14281282978,"{'hs_createdate': '2024-07-27T18:05:22.617Z', 'hs_lastmodifieddate': '2024-07-27T18:08:39.559Z', 'hs_object_id': '14281282978'}",2024-07-27T18:05:22.617Z,2024-07-27T18:08:39.559Z,False
14282454814,"{'hs_createdate': '2024-07-27T18:06:35.668Z', 'hs_lastmodifieddate': '2024-07-27T18:08:04.981Z', 'hs_object_id': '14282454814'}",2024-07-27T18:06:35.668Z,2024-07-27T18:08:04.981Z,False
14292279674,"{'hs_createdate': '2024-07-28T21:37:46.602Z', 'hs_lastmodifieddate': '2024-07-28T22:11:23.128Z', 'hs_object_id': '14292279674'}",2024-07-28T21:37:46.602Z,2024-07-28T22:11:23.128Z,False
14292442882,"{'hs_createdate': '2024-07-28T22:09:31.490Z', 'hs_lastmodifieddate': '2024-07-29T14:52:05.396Z', 'hs_object_id': '14292442882'}",2024-07-28T22:09:31.490Z,2024-07-29T14:52:05.396Z,False
14292442904,"{'hs_createdate': '2024-07-28T22:11:16.440Z', 'hs_lastmodifieddate': '2024-07-28T22:11:16.844Z', 'hs_object_id': '14292442904'}",2024-07-28T22:11:16.440Z,2024-07-28T22:11:16.844Z,False
14292492379,"{'hs_createdate': '2024-07-28T22:11:00.985Z', 'hs_lastmodifieddate': '2024-07-28T22:11:28.386Z', 'hs_object_id': '14292492379'}",2024-07-28T22:11:00.985Z,2024-07-28T22:11:28.386Z,False
14298475418,"{'hs_createdate': '2024-07-29T13:32:24.989Z', 'hs_lastmodifieddate': '2024-07-29T13:32:26.756Z', 'hs_object_id': '14298475418'}",2024-07-29T13:32:24.989Z,2024-07-29T13:32:26.756Z,False
14298533981,"{'hs_createdate': '2024-07-29T13:44:55.475Z', 'hs_lastmodifieddate': '2024-07-29T15:24:06.802Z', 'hs_object_id': '14298533981'}",2024-07-29T13:44:55.475Z,2024-07-29T15:24:06.802Z,False
14298567040,"{'hs_createdate': '2024-07-29T14:07:00.273Z', 'hs_lastmodifieddate': '2024-07-29T14:07:00.856Z', 'hs_object_id': '14298567040'}",2024-07-29T14:07:00.273Z,2024-07-29T14:07:00.856Z,False
