id,title,price,stock,description,image,rating,Categories
89,Brincanteira de Cobra Dragão Naga Ouro e Prata da Coleção Legendas da John Hardy,695.00,453,"Da nossa Coleção Legendas, a Naga foi inspirada na dragã mitológica que protege a pérola do oceano. Use voltada para dentro para ser abençoada com amor e abundância, ou voltada para fora para proteção.",https://fakestoreapi.com/img/71pWzhdJNwL._AC_UL640_QL65_ML3_.jpg,1.6 (400),joalheria
88,Casual Masculino Slim Fit,100000,220,"A cor pode ser ligeiramente diferente entre o que é mostrado na tela e na prática. &amp;amp;#x2F; Por favor, note que os tipos corporais variam de pessoa para pessoa, portanto, informações detalhadas sobre o tamanho devem ser revisadas abaixo na descrição do produto.",https://fakestoreapi.com/img/71YXzeOuslL._AC_UY879_.jpg,2.1 (430),"homens,  teste"
91,Princesa Revestida em Ouro Branco,9.99,187,"Anel de Promessa de Diamante Solitário Clássico Criado para Ela. Presentes para enriquecer ainda mais seu amor para Casamento, Aniversário, Dia dos Namorados...",https://fakestoreapi.com/img/71YAIFU48IL._AC_UL640_QL65_ML3_.jpg,9 (400),joalheria
93,Disco Rígido Externo Portátil WD 2TB Elements - USB 3.0,64.00,100,"Compatibilidade com USB 3.0 e USB 2.0 Transferência rápida de dados Melhora o desempenho do PC Alta capacidade; Formato compatível NTFS para Windows 10, Windows 8.1, Windows 7; Reformatação pode ser necessária para outros sistemas operacionais; A compatibilidade pode variar dependendo da configuração de hardware e sistema operacional do usuário",https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,4.3 (203),eletronicos
94,SSD Interno SanDisk SSD PLUS 1TB - SATA III 6 Gb/s,109.00,89,"Atualização fácil para inicialização mais rápida, desligamento, carga e resposta de aplicativos (Comparado a disco rígido HDD 5400 RPM SATA 2.5”; Baseado em especificações publicadas e testes internos de benchmark usando pontuações PCMark Vantage) Aumenta o desempenho de escrita em rajadas, tornando-o ideal para cargas de trabalho típicas de PC Equilíbrio perfeito entre desempenho e confiabilidade Velocidades de leitura/gravação de até 535 MB/s/450 MB/s (Baseado em testes internos; O desempenho pode variar dependendo da capacidade do disco, dispositivo host, sistema operacional e aplicação)",https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_.jpg,5.9 (470),eletronicos
86,Camiseta Masculina Casual Premium Ajustada Slim,22.30,67,"Estilo ajustado, gola longa em contraste com costura de raglan, abotoaduras de três botões na parte frontal de henley, tecido leve e macio para uso respirável e confortável. E camisas costuradas sólidas com gola redonda feitas para durabilidade e um ótimo ajuste para vestir casualmente e fãs apaixonados de beisebol. O estilo Henley inclui uma gola redonda com uma abotoadura de três botões.",https://fakestoreapi.com/img/71-3HjGNDUL._AC_SY879._SX._UX._SY._UY_.jpg,4.1 (259),homens
95,SSD Silicon Power 256GB 3D NAND A55 SLC Cache Performance Boost SATA III 2.5,109.00,55,"Aplique-se tecnologia 3D NAND flash para entregar altas velocidades de transferência Notáveis velocidades de transferência que permitem inicialização mais rápida e melhor desempenho geral do sistema. A avançada tecnologia SLC Cache permite aumento de desempenho e vida útil mais longa Design fino de 7mm adequado para Ultrabooks e notebooks ultra-eslembrosos. Suporta comando TRIM, tecnologia de Coleta de Resíduos, RAID e ECC (Verificação e Correção de Erros) para fornecer desempenho otimizado e maior confiabilidade.",https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_.jpg,4.8 (319),eletronicos
92,Orelhas de Pomba-rei Perfuradas Revestidas em Ouro Rosa,10.99,43,Orelhas Duplas de Túnel Aumentadas Revestidas em Ouro Rosa. Feitas de Aço Inoxidável 316L,https://fakestoreapi.com/img/51UDEzMJVpL._AC_UL640_QL65_ML3_.jpg,1.9 (100),joalheria
87,Jaqueta de Algodão Masculina,55.99,27,"Ótimas jaquetas de capa externa para Primavera/Outono/Inverno, adequadas para muitas ocasiões, como trabalho, trilha, acampamento, escalada de montanha/rochas, ciclismo, viagens ou outras atividades ao ar livre. Boa escolha de presente para você ou um membro da sua família. Um carinho quente para Pai, marido ou filho neste Dia das Crianças ou Natal.",https://fakestoreapi.com/img/71li-ujtlUL._AC_UX679_.jpg,5 (500),homens
90,Petite Micropave de Ouro Puro,168.00,17,Garantia de Satisfação. Devolver ou trocar qualquer pedido dentro de 30 dias. Projeto e venda pelo Hafeez Center nos Estados Unidos. Garantia de Satisfação. Devolver ou trocar qualquer pedido dentro de 30 dias.,https://fakestoreapi.com/img/61sbMiUnoGL._AC_UL640_QL65_ML3_.jpg,4.9 (70),joalheria
